PATTERN	SPATIAL	CATEGORY	66-24-C	66-24-P	66-48-C	66-48-P	67-24-C	67-24-P	67-48-C	67-48-P	68-24-C	68-24-P	68-48-C	68-48-P	76-48-C	76-48-P	82-24-C	82-24-P	82-48-C	82-48-P
jellyfish	0	animal name	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
join	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jungle	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
large	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leaves	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
left	1	location and directions	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
leg	0	body part	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
length	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lengthwise	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leopard	0	animal name	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
light	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
line	1	spatial features and properties	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
little	1	spatial dimension	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1
lobster	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
location	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
log	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
long	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
low	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
lump	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
marlin	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
maybe	0	question	0	4	0	8	0	0	1	10	0	16	0	6	0	0	0	2	0	8
measure	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
middle	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
monkey	0	animal name	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0
mossy	0	adjective	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mouth	0	body part	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
much	1	continuous amount	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mushrooms	0	nature	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
narrow	1	spatial dimension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
near	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
next to	1	location and directions	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
north	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nose	0	body part	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1
ocean	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
octagon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
octopus	0	animal name	6	3	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0
opposite	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
orange	0	color	1	2	0	0	0	0	0	3	0	2	0	0	0	0	0	2	0	1
orientation	1	orientation and transformation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
out	1	location and directions	0	0	0	0	0	2	0	4	0	3	0	6	0	1	1	1	0	3
oval	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
over	1	location and directions	8	5	2	6	1	0	2	4	0	2	0	7	0	4	0	3	0	4
parallel	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parallelogram	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
part	1	continuous amount	4	1	0	0	0	2	0	20	0	0	0	0	0	1	0	2	0	18
past	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
path	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pentagon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perpendicular	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
petal	0	nature	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
piece	1	continuous amount	7	6	10	9	4	8	4	25	0	23	0	19	2	12	0	16	6	29
pig	0	animal name	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pincher	0	body part	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
pink	0	color	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	1
place	1	location and directions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plane	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plants	0	nature	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2
point	1	spatial features and properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
polygon	1	shapes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
portion	1	continuous amount	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
