_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
94	F	P	through	1	location and directions	1
94	F	P	top	1	location and directions	1
94	F	P	tree	0	nature	1
94	F	P	turn	1	orientation and transformation	2
94	F	P	under	1	location and directions	1
94	F	P	up	1	location and directions	4
94	F	P	what	0	question	10
94	F	P	where	0	question	2
94	F	P	will	0	question	2
94	F	P	with	1	location and directions	4
94	NF	C	could	0	question	1
94	NF	C	face	0	body part	1
94	NF	C	i don't know	0	question	1
94	NF	C	in	1	location and directions	1
94	NF	C	out	1	location and directions	1
94	NF	C	sun	0	nature	1
94	NF	C	turn	1	orientation and transformation	1
94	NF	C	water	0	nature	2
94	NF	C	what	0	question	7
94	NF	P	all	1	continuous amount	3
94	NF	P	animal	0	animal name	1
94	NF	P	around	1	location and directions	7
94	NF	P	away	1	location and directions	1
94	NF	P	axis	1	spatial features and properties	1
94	NF	P	big	1	spatial dimension	1
94	NF	P	blue	0	color	1
94	NF	P	bright	0	adjective	2
94	NF	P	by	1	location and directions	1
94	NF	P	can	0	question	2
94	NF	P	circle	1	shapes	1
94	NF	P	could	0	question	4
94	NF	P	do	0	question	1
94	NF	P	down	1	location and directions	2
94	NF	P	enough	1	continuous amount	1
94	NF	P	far	1	location and directions	1
94	NF	P	flat	1	spatial features and properties	2
94	NF	P	full	1	spatial dimension	1
94	NF	P	half 	1	continuous amount	2
94	NF	P	high	1	location and directions	1
94	NF	P	how	0	question	4
94	NF	P	in	1	location and directions	8
94	NF	P	is that	0	question	1
94	NF	P	is this	0	question	1
94	NF	P	leg	0	body part	1
94	NF	P	light	0	adjective	1
94	NF	P	out	1	location and directions	1
94	NF	P	part	1	continuous amount	2
94	NF	P	plants	0	nature	1
94	NF	P	right	1	location and directions	1
94	NF	P	shiny	0	adjective	2
94	NF	P	sky	0	nature	2
94	NF	P	some	1	continuous amount	1
94	NF	P	sun	0	nature	10
94	NF	P	surface	1	spatial features and properties	1
94	NF	P	tall	1	spatial dimension	2
94	NF	P	tree	0	nature	1
94	NF	P	up	1	location and directions	3
94	NF	P	water	0	nature	4
94	NF	P	what	0	question	6
94	NF	P	when	0	question	5
