_ID	KIND	SPEAKER	WORD_TYP	WORD_TOK	PATT_TYP	PATT_TOK	SPA_TYP	SPA_TOK	SD_TYP	SD_TOK	SHA_TYP	SHA_TOK	LD_TYP	LD_TOK	CA_TYP	CA_TOK	SF_TYP	SF_TOK	OT_TYP	OT_TOK	ANI_TYP	ANI_TOK	NAT_TYP	NAT_TOK	BP_TYP	BP_TOK	COL_TYP	COL_TOK	ADJ_TYP	ADJ_TOK	Q_TYP	Q_TOK
83	12	E	63	295	15	67	6	20	0	0	0	0	5	16	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	8	46
84	12	C	35	124	9	23	3	11	0	0	0	0	3	11	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	3	9
84	12	E	58	321	16	94	4	24	0	0	0	0	3	13	1	11	0	0	0	0	1	1	0	0	1	1	0	0	0	0	10	68
86	12	C	40	98	10	14	5	5	0	0	0	0	2	2	1	1	2	2	0	0	1	1	0	0	0	0	3	3	0	0	1	5
86	12	E	39	173	10	44	5	10	0	0	0	0	2	3	1	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	34
87	12	C	27	57	9	15	7	13	0	0	0	0	3	7	0	0	1	1	3	5	0	0	0	0	0	0	0	0	0	0	2	2
87	12	E	45	192	14	65	7	26	0	0	0	0	3	13	1	8	1	1	2	4	0	0	0	0	0	0	0	0	0	0	7	39
88	12	C	50	197	12	29	6	19	0	0	0	0	3	16	1	1	0	0	2	2	3	4	1	2	0	0	0	0	0	0	2	4
88	12	E	58	264	17	75	9	24	0	0	0	0	5	14	2	8	1	1	1	1	0	0	0	0	0	0	0	0	0	0	8	51
89	12	C	6	34	2	5	2	5	0	0	0	0	1	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
89	12	E	40	181	10	53	4	14	0	0	0	0	2	5	1	8	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	39
9	12	C	57	138	12	23	8	15	1	1	0	0	2	5	4	6	1	3	0	0	1	1	0	0	1	1	0	0	0	0	2	6
9	12	E	104	560	20	126	9	35	0	0	0	0	5	17	3	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	11	91
90	12	C	43	138	10	30	3	16	0	0	0	0	2	14	1	2	0	0	0	0	3	3	0	0	1	1	0	0	0	0	3	10
90	12	E	58	292	15	90	5	27	0	0	0	0	4	15	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	63
91	12	C	39	146	6	37	2	31	0	0	0	0	1	24	1	7	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	4
